Day,Route,Time,Estimated Buses Required
1,210.0-G,15.0,47
1,210.0-G,15.5,44
1,210.0-G,16.0,78
1,210.0-G,16.5,84
1,210.0-G,17.0,82
1,210.0-G,17.5,77
1,210.0-G,18.0,78
1,210.0-G,18.5,83
1,210.0-G,19.0,77
1,210.0-G,19.5,78
1,210.0-G,20.0,41
1,210.0-G,20.5,41
1,210.0-G,21.0,41
1,210.0-G,21.5,39
1,210.0-G,22.0,41
1,210.0-G,22.5,40
1,210.0-N,5.0,30
1,210.0-N,5.5,32
1,210.0-N,6.0,31
1,210.0-N,6.5,32
1,210.0-N,7.0,94
1,210.0-N,7.5,94
1,210.0-N,8.0,89
1,210.0-N,8.5,92
1,210.0-N,9.0,91
1,210.0-N,9.5,91
1,210.0-N,10.0,52
1,210.0-N,10.5,49
1,210.0-N,11.0,52
1,210.0-N,11.5,50
1,210.0-N,12.0,51
1,210.0-N,12.5,50
1,210.0-N,13.0,50
1,210.0-N,13.5,50
1,210.0-N,14.0,48
1,210.0-N,14.5,51
1,210.0-N,15.0,49
1,210.0-N,15.5,47
1,210.0-N,16.0,88
1,210.0-N,16.5,84
1,210.0-N,17.0,91
1,210.0-N,17.5,91
1,210.0-N,18.0,90
1,210.0-N,18.5,86
1,210.0-N,19.0,83
1,210.0-N,19.5,91
1,210.0-N,20.0,43
1,210.0-N,20.5,45
1,210.0-N,21.0,45
1,210.0-N,21.5,45
1,210.0-N,22.0,43
1,210.0-N,22.5,43
1,215.0-C,5.0,39
1,215.0-C,5.5,37
1,215.0-C,6.0,36
1,215.0-C,6.5,38
1,215.0-C,7.0,117
1,215.0-C,7.5,115
1,215.0-C,8.0,113
1,215.0-C,8.5,108
1,215.0-C,9.0,114
1,215.0-C,9.5,118
1,215.0-C,10.0,58
1,215.0-C,10.5,60
1,215.0-C,11.0,62
1,215.0-C,11.5,61
1,215.0-C,12.0,61
1,215.0-C,12.5,61
1,215.0-C,13.0,59
1,215.0-C,13.5,59
1,215.0-C,14.0,62
1,215.0-C,14.5,62
1,215.0-C,15.0,62
1,215.0-C,15.5,62
1,215.0-C,16.0,105
1,215.0-C,16.5,105
1,215.0-C,17.0,108
1,215.0-C,17.5,107
1,215.0-C,18.0,107
1,215.0-C,18.5,108
1,215.0-C,19.0,109
1,215.0-C,19.5,103
1,215.0-C,20.0,52
1,215.0-C,20.5,50
1,215.0-C,21.0,53
1,215.0-C,21.5,50
1,215.0-C,22.0,52
1,215.0-C,22.5,53
1,215.0-K,5.0,43
1,215.0-K,5.5,44
1,215.0-K,6.0,41
1,215.0-K,6.5,41
1,215.0-K,7.0,135
1,215.0-K,7.5,129
1,215.0-K,8.0,126
1,215.0-K,8.5,131
1,215.0-K,9.0,134
1,215.0-K,9.5,127
1,215.0-K,10.0,70
1,215.0-K,10.5,67
1,215.0-K,11.0,66
1,215.0-K,11.5,70
1,215.0-K,12.0,70
1,215.0-K,12.5,71
1,215.0-K,13.0,71
1,215.0-K,13.5,73
1,215.0-K,14.0,70
1,215.0-K,14.5,68
1,215.0-K,15.0,72
1,215.0-K,15.5,68
1,215.0-K,16.0,121
1,215.0-K,16.5,117
1,215.0-K,17.0,116
1,215.0-K,17.5,127
1,215.0-K,18.0,126
1,215.0-K,18.5,124
1,215.0-K,19.0,121
1,215.0-K,19.5,118
1,215.0-K,20.0,59
1,215.0-K,20.5,59
1,215.0-K,21.0,61
1,215.0-K,21.5,62
1,215.0-K,22.0,62
1,215.0-K,22.5,60
1,225.0-C,5.0,31
1,225.0-C,5.5,30
1,225.0-C,6.0,30
1,225.0-C,6.5,30
1,225.0-C,7.0,88
1,225.0-C,7.5,86
1,225.0-C,8.0,87
1,225.0-C,8.5,91
1,225.0-C,9.0,84
1,225.0-C,9.5,85
1,225.0-C,10.0,45
1,225.0-C,10.5,45
1,225.0-C,11.0,49
1,225.0-C,11.5,48
1,225.0-C,12.0,47
1,225.0-C,12.5,45
1,225.0-C,13.0,47
1,225.0-C,13.5,47
1,225.0-C,14.0,46
1,225.0-C,14.5,47
1,225.0-C,15.0,47
1,225.0-C,15.5,48
1,225.0-C,16.0,84
1,225.0-C,16.5,79
1,225.0-C,17.0,82
1,225.0-C,17.5,84
1,225.0-C,18.0,83
1,225.0-C,18.5,86
1,225.0-C,19.0,84
1,225.0-C,19.5,80
1,225.0-C,20.0,40
1,225.0-C,20.5,42
1,225.0-C,21.0,39
1,225.0-C,21.5,42
1,225.0-C,22.0,43
1,225.0-C,22.5,42
1,238.0-W,5.0,33
1,238.0-W,5.5,33
1,238.0-W,6.0,33
1,238.0-W,6.5,33
1,238.0-W,7.0,103
1,238.0-W,7.5,98
1,238.0-W,8.0,104
1,238.0-W,8.5,103
1,238.0-W,9.0,96
1,238.0-W,9.5,95
1,238.0-W,10.0,51
1,238.0-W,10.5,50
1,238.0-W,11.0,51
1,238.0-W,11.5,54
1,238.0-W,12.0,51
1,238.0-W,12.5,52
1,238.0-W,13.0,55
1,238.0-W,13.5,50
1,238.0-W,14.0,54
1,238.0-W,14.5,52
1,238.0-W,15.0,51
1,238.0-W,15.5,54
1,238.0-W,16.0,94
1,238.0-W,16.5,96
1,238.0-W,17.0,95
1,238.0-W,17.5,95
1,238.0-W,18.0,90
1,238.0-W,18.5,89
1,238.0-W,19.0,95
1,238.0-W,19.5,95
1,238.0-W,20.0,48
1,238.0-W,20.5,46
1,238.0-W,21.0,46
1,238.0-W,21.5,47
1,238.0-W,22.0,45
1,238.0-W,22.5,48
1,241.0-H,5.0,62
1,241.0-H,5.5,60
1,241.0-H,6.0,62
1,241.0-H,6.5,62
1,241.0-H,7.0,173
1,241.0-H,7.5,187
1,241.0-H,8.0,180
1,241.0-H,8.5,186
1,241.0-H,9.0,177
1,241.0-H,9.5,187
1,241.0-H,10.0,95
1,241.0-H,10.5,91
1,241.0-H,11.0,100
1,241.0-H,11.5,92
1,241.0-H,12.0,94
1,241.0-H,12.5,100
1,241.0-H,13.0,100
1,241.0-H,13.5,97
1,241.0-H,14.0,97
1,241.0-H,14.5,96
1,241.0-H,15.0,94
1,241.0-H,15.5,94
1,241.0-H,16.0,171
1,241.0-H,16.5,172
1,241.0-H,17.0,173
1,241.0-H,17.5,173
1,241.0-H,18.0,161
1,241.0-H,18.5,168
1,241.0-H,19.0,161
1,241.0-H,19.5,169
1,241.0-H,20.0,84
1,241.0-H,20.5,87
1,241.0-H,21.0,83
1,241.0-H,21.5,81
1,241.0-H,22.0,81
1,241.0-H,22.5,86
1,242.0-B,5.0,40
1,242.0-B,5.5,38
1,242.0-B,6.0,38
1,242.0-B,6.5,40
1,242.0-B,7.0,113
1,242.0-B,7.5,122
1,242.0-B,8.0,121
1,242.0-B,8.5,114
1,242.0-B,9.0,114
1,242.0-B,9.5,124
1,242.0-B,10.0,62
1,242.0-B,10.5,62
1,242.0-B,11.0,65
1,242.0-B,11.5,66
1,242.0-B,12.0,66
1,242.0-B,12.5,65
1,242.0-B,13.0,62
1,242.0-B,13.5,61
1,242.0-B,14.0,65
1,242.0-B,14.5,64
1,242.0-B,15.0,63
1,242.0-B,15.5,66
1,242.0-B,16.0,106
1,242.0-B,16.5,111
1,242.0-B,17.0,105
1,242.0-B,17.5,110
1,242.0-B,18.0,106
1,242.0-B,18.5,106
1,242.0-B,19.0,106
1,242.0-B,19.5,112
1,242.0-B,20.0,57
1,242.0-B,20.5,56
1,242.0-B,21.0,58
1,242.0-B,21.5,55
1,242.0-B,22.0,54
1,242.0-B,22.5,57
1,248.0-G,5.0,29
1,248.0-G,5.5,31
1,248.0-G,6.0,28
1,248.0-G,6.5,31
1,248.0-G,7.0,84
1,248.0-G,7.5,92
1,248.0-G,8.0,89
1,248.0-G,8.5,93
1,248.0-G,9.0,85
1,248.0-G,9.5,89
1,248.0-G,10.0,49
1,248.0-G,10.5,47
1,248.0-G,11.0,48
1,248.0-G,11.5,48
1,248.0-G,12.0,47
1,248.0-G,12.5,48
1,248.0-G,13.0,48
1,248.0-G,13.5,49
1,248.0-G,14.0,45
1,248.0-G,14.5,46
1,248.0-G,15.0,49
1,248.0-G,15.5,49
1,248.0-G,16.0,82
1,248.0-G,16.5,84
1,248.0-G,17.0,81
1,248.0-G,17.5,80
1,248.0-G,18.0,82
1,248.0-G,18.5,81
1,248.0-G,19.0,83
1,248.0-G,19.5,79
1,248.0-G,20.0,43
1,248.0-G,20.5,43
1,248.0-G,21.0,42
1,248.0-G,21.5,41
1,248.0-G,22.0,41
1,248.0-G,22.5,43
1,25.0-A,5.0,35
1,25.0-A,5.5,33
1,25.0-A,6.0,35
1,25.0-A,6.5,35
1,25.0-A,7.0,107
1,25.0-A,7.5,104
1,25.0-A,8.0,103
1,25.0-A,8.5,101
1,25.0-A,9.0,106
1,25.0-A,9.5,106
1,25.0-A,10.0,52
1,25.0-A,10.5,52
1,25.0-A,11.0,54
1,25.0-A,11.5,56
1,25.0-A,12.0,57
1,25.0-A,12.5,52
1,25.0-A,13.0,55
1,25.0-A,13.5,54
1,25.0-A,14.0,57
1,25.0-A,14.5,56
1,25.0-A,15.0,56
1,25.0-A,15.5,54
1,25.0-A,16.0,94
1,25.0-A,16.5,93
1,25.0-A,17.0,91
1,25.0-A,17.5,99
1,25.0-A,18.0,98
1,25.0-A,18.5,100
1,25.0-A,19.0,100
1,25.0-A,19.5,96
1,25.0-A,20.0,49
1,25.0-A,20.5,50
1,25.0-A,21.0,49
1,25.0-A,21.5,46
1,25.0-A,22.0,47
1,25.0-A,22.5,46
1,251.0-B,5.0,36
1,251.0-B,5.5,35
1,251.0-B,6.0,34
1,251.0-B,6.5,35
1,251.0-B,7.0,105
1,251.0-B,7.5,102
1,251.0-B,8.0,100
1,251.0-B,8.5,105
1,251.0-B,9.0,104
1,251.0-B,9.5,106
1,251.0-B,10.0,55
1,251.0-B,10.5,57
1,251.0-B,11.0,55
1,251.0-B,11.5,56
1,251.0-B,12.0,57
1,251.0-B,12.5,55
1,251.0-B,13.0,53
1,251.0-B,13.5,53
1,251.0-B,14.0,57
1,251.0-B,14.5,56
1,251.0-B,15.0,56
1,251.0-B,15.5,54
1,251.0-B,16.0,93
1,251.0-B,16.5,92
1,251.0-B,17.0,95
1,251.0-B,17.5,97
1,251.0-B,18.0,96
1,251.0-B,18.5,96
1,251.0-B,19.0,101
1,251.0-B,19.5,95
1,251.0-B,20.0,48
1,251.0-B,20.5,50
1,251.0-B,21.0,48
1,251.0-B,21.5,49
1,251.0-B,22.0,50
1,251.0-B,22.5,50
1,252.0-A,5.0,38
1,252.0-A,5.5,41
1,252.0-A,6.0,39
1,252.0-A,6.5,38
1,252.0-A,7.0,117
1,252.0-A,7.5,123
1,252.0-A,8.0,117
1,252.0-A,8.5,115
1,252.0-A,9.0,119
1,252.0-A,9.5,114
1,252.0-A,10.0,60
1,252.0-A,10.5,60
1,252.0-A,11.0,60
1,252.0-A,11.5,60
1,252.0-A,12.0,60
1,252.0-A,12.5,63
1,252.0-A,13.0,60
1,252.0-A,13.5,61
1,252.0-A,14.0,65
1,252.0-A,14.5,62
1,252.0-A,15.0,63
1,252.0-A,15.5,60
1,252.0-A,16.0,106
1,252.0-A,16.5,104
1,252.0-A,17.0,106
1,252.0-A,17.5,107
1,252.0-A,18.0,106
1,252.0-A,18.5,105
1,252.0-A,19.0,105
1,252.0-A,19.5,109
1,252.0-A,20.0,53
1,252.0-A,20.5,54
1,252.0-A,21.0,55
1,252.0-A,21.5,56
1,252.0-A,22.0,52
1,252.0-A,22.5,56
1,252.0-E,5.0,35
1,252.0-E,5.5,34
1,252.0-E,6.0,36
1,252.0-E,6.5,36
1,252.0-E,7.0,100
1,252.0-E,7.5,103
1,252.0-E,8.0,108
1,252.0-E,8.5,108
1,252.0-E,9.0,102
1,252.0-E,9.5,102
1,252.0-E,10.0,55
1,252.0-E,10.5,56
1,252.0-E,11.0,57
1,252.0-E,11.5,55
1,252.0-E,12.0,56
1,252.0-E,12.5,57
1,252.0-E,13.0,53
1,252.0-E,13.5,55
1,252.0-E,14.0,57
1,252.0-E,14.5,58
1,252.0-E,15.0,56
1,252.0-E,15.5,56
1,252.0-E,16.0,94
1,252.0-E,16.5,97
1,252.0-E,17.0,98
1,252.0-E,17.5,95
1,252.0-E,18.0,96
1,252.0-E,18.5,97
1,252.0-E,19.0,93
1,252.0-E,19.5,96
1,252.0-E,20.0,48
1,252.0-E,20.5,48
1,252.0-E,21.0,47
1,252.0-E,21.5,51
1,252.0-E,22.0,49
1,252.0-E,22.5,50
1,252.0-F,5.0,33
1,252.0-F,5.5,32
1,252.0-F,6.0,31
1,252.0-F,6.5,33
1,252.0-F,7.0,98
1,252.0-F,7.5,100
1,252.0-F,8.0,97
1,252.0-F,8.5,94
1,252.0-F,9.0,95
1,252.0-F,9.5,96
1,252.0-F,10.0,53
1,252.0-F,10.5,52
1,252.0-F,11.0,51
1,252.0-F,11.5,55
1,252.0-F,12.0,53
1,252.0-F,12.5,51
1,252.0-F,13.0,50
1,252.0-F,13.5,50
1,252.0-F,14.0,51
1,252.0-F,14.5,50
1,252.0-F,15.0,50
1,252.0-F,15.5,51
1,252.0-F,16.0,88
1,252.0-F,16.5,95
1,252.0-F,17.0,87
1,252.0-F,17.5,91
1,252.0-F,18.0,90
1,252.0-F,18.5,95
1,252.0-F,19.0,87
1,252.0-F,19.5,90
1,252.0-F,20.0,48
1,252.0-F,20.5,47
1,252.0-F,21.0,47
1,252.0-F,21.5,44
1,252.0-F,22.0,44
1,252.0-F,22.5,46
1,255.0-C,5.0,33
1,255.0-C,5.5,32
1,255.0-C,6.0,32
1,255.0-C,6.5,31
1,255.0-C,7.0,97
1,255.0-C,7.5,92
1,255.0-C,8.0,93
1,255.0-C,8.5,94
1,255.0-C,9.0,95
1,255.0-C,9.5,92
1,255.0-C,10.0,48
1,255.0-C,10.5,51
1,255.0-C,11.0,49
1,255.0-C,11.5,51
1,255.0-C,12.0,49
1,255.0-C,12.5,50
1,255.0-C,13.0,51
1,255.0-C,13.5,48
1,255.0-C,14.0,50
1,255.0-C,14.5,49
1,255.0-C,15.0,48
1,255.0-C,15.5,53
1,255.0-C,16.0,87
1,255.0-C,16.5,91
1,255.0-C,17.0,86
1,255.0-C,17.5,90
1,255.0-C,18.0,90
1,255.0-C,18.5,89
1,255.0-C,19.0,88
1,255.0-C,19.5,87
1,255.0-C,20.0,43
1,255.0-C,20.5,46
1,255.0-C,21.0,46
1,255.0-C,21.5,46
1,255.0-C,22.0,42
1,255.0-C,22.5,45
1,258.0-C,5.0,41
1,258.0-C,5.5,38
1,258.0-C,6.0,37
1,258.0-C,6.5,40
1,258.0-C,7.0,118
1,258.0-C,7.5,121
1,258.0-C,8.0,113
1,258.0-C,8.5,120
1,258.0-C,9.0,114
1,258.0-C,9.5,113
1,258.0-C,10.0,60
1,258.0-C,10.5,64
1,258.0-C,11.0,63
1,258.0-C,11.5,63
1,258.0-C,12.0,62
1,258.0-C,12.5,65
1,258.0-C,13.0,62
1,258.0-C,13.5,64
1,258.0-C,14.0,62
1,258.0-C,14.5,62
1,258.0-C,15.0,62
1,258.0-C,15.5,61
1,258.0-C,16.0,112
1,258.0-C,16.5,109
1,258.0-C,17.0,106
1,258.0-C,17.5,114
1,258.0-C,18.0,108
1,258.0-C,18.5,110
1,258.0-C,19.0,114
1,258.0-C,19.5,111
1,258.0-C,20.0,53
1,258.0-C,20.5,57
1,258.0-C,21.0,55
1,258.0-C,21.5,54
1,258.0-C,22.0,53
1,258.0-C,22.5,56
1,265.0-A,5.0,30
1,265.0-A,5.5,30
1,265.0-A,6.0,31
1,265.0-A,6.5,31
1,265.0-A,7.0,87
1,265.0-A,7.5,88
1,265.0-A,8.0,88
1,265.0-A,8.5,92
1,265.0-A,9.0,86
1,265.0-A,9.5,91
1,265.0-A,10.0,49
1,265.0-A,10.5,50
1,265.0-A,11.0,47
1,265.0-A,11.5,50
1,265.0-A,12.0,46
1,265.0-A,12.5,50
1,265.0-A,13.0,46
1,265.0-A,13.5,48
1,265.0-A,14.0,49
1,265.0-A,14.5,46
1,265.0-A,15.0,47
1,265.0-A,15.5,49
1,265.0-A,16.0,86
1,265.0-A,16.5,85
1,265.0-A,17.0,86
1,265.0-A,17.5,84
1,265.0-A,18.0,82
1,265.0-A,18.5,83
1,265.0-A,19.0,81
1,265.0-A,19.5,87
1,265.0-A,20.0,42
1,265.0-A,20.5,42
1,265.0-A,21.0,42
1,265.0-A,21.5,44
1,265.0-A,22.0,41
1,265.0-A,22.5,42
1,271.0-K,5.0,37
1,271.0-K,5.5,37
1,271.0-K,6.0,35
1,271.0-K,6.5,38
1,271.0-K,7.0,114
1,271.0-K,7.5,110
1,271.0-K,8.0,112
1,271.0-K,8.5,114
1,271.0-K,9.0,112
1,271.0-K,9.5,106
1,271.0-K,10.0,59
1,271.0-K,10.5,59
1,271.0-K,11.0,58
1,271.0-K,11.5,60
1,271.0-K,12.0,61
1,271.0-K,12.5,61
1,271.0-K,13.0,58
1,271.0-K,13.5,56
1,271.0-K,14.0,61
1,271.0-K,14.5,60
1,271.0-K,15.0,56
1,271.0-K,15.5,61
1,271.0-K,16.0,106
1,271.0-K,16.5,102
1,271.0-K,17.0,103
1,271.0-K,17.5,101
1,271.0-K,18.0,98
1,271.0-K,18.5,101
1,271.0-K,19.0,105
1,271.0-K,19.5,97
1,271.0-K,20.0,50
1,271.0-K,20.5,51
1,271.0-K,21.0,51
1,271.0-K,21.5,53
1,271.0-K,22.0,50
1,271.0-K,22.5,50
1,271.0-Q,5.0,37
1,271.0-Q,5.5,36
1,271.0-Q,6.0,35
1,271.0-Q,6.5,36
1,271.0-Q,7.0,104
1,271.0-Q,7.5,105
1,271.0-Q,8.0,108
1,271.0-Q,8.5,107
1,271.0-Q,9.0,112
1,271.0-Q,9.5,107
1,271.0-Q,10.0,58
1,271.0-Q,10.5,58
1,271.0-Q,11.0,55
1,271.0-Q,11.5,59
1,271.0-Q,12.0,56
1,271.0-Q,12.5,60
1,271.0-Q,13.0,56
1,271.0-Q,13.5,57
1,271.0-Q,14.0,55
1,271.0-Q,14.5,60
1,271.0-Q,15.0,58
1,271.0-Q,15.5,58
1,271.0-Q,16.0,96
1,271.0-Q,16.5,103
1,271.0-Q,17.0,98
1,271.0-Q,17.5,105
1,271.0-Q,18.0,98
1,271.0-Q,18.5,98
1,271.0-Q,19.0,96
1,271.0-Q,19.5,101
1,271.0-Q,20.0,51
1,271.0-Q,20.5,48
1,271.0-Q,21.0,52
1,271.0-Q,21.5,50
1,271.0-Q,22.0,51
1,271.0-Q,22.5,50
1,285.0-B,5.0,33
1,285.0-B,5.5,33
1,285.0-B,6.0,32
1,285.0-B,6.5,32
1,285.0-B,7.0,103
1,285.0-B,7.5,103
1,285.0-B,8.0,98
1,285.0-B,8.5,97
1,285.0-B,9.0,100
1,285.0-B,9.5,98
1,285.0-B,10.0,50
1,285.0-B,10.5,51
1,285.0-B,11.0,54
1,285.0-B,11.5,54
1,285.0-B,12.0,50
1,285.0-B,12.5,51
1,285.0-B,13.0,51
1,285.0-B,13.5,54
1,285.0-B,14.0,50
1,285.0-B,14.5,51
1,285.0-B,15.0,54
1,285.0-B,15.5,51
1,285.0-B,16.0,94
1,285.0-B,16.5,90
1,285.0-B,17.0,89
1,285.0-B,17.5,90
1,285.0-B,18.0,94
1,285.0-B,18.5,96
1,285.0-B,19.0,95
1,285.0-B,19.5,91
1,285.0-B,20.0,47
1,285.0-B,20.5,45
1,285.0-B,21.0,45
1,285.0-B,21.5,48
1,285.0-B,22.0,44
1,285.0-B,22.5,44
1,290.0-C,5.0,32
1,290.0-C,5.5,31
1,290.0-C,6.0,32
1,290.0-C,6.5,33
1,290.0-C,7.0,98
1,290.0-C,7.5,103
1,290.0-C,8.0,102
1,290.0-C,8.5,97
1,290.0-C,9.0,97
1,290.0-C,9.5,98
1,290.0-C,10.0,53
1,290.0-C,10.5,52
1,290.0-C,11.0,53
1,290.0-C,11.5,52
1,290.0-C,12.0,53
1,290.0-C,12.5,52
1,290.0-C,13.0,52
1,290.0-C,13.5,55
1,290.0-C,14.0,54
1,290.0-C,14.5,51
1,290.0-C,15.0,55
1,290.0-C,15.5,53
1,290.0-C,16.0,96
1,290.0-C,16.5,95
1,290.0-C,17.0,92
1,290.0-C,17.5,88
1,290.0-C,18.0,90
1,290.0-C,18.5,93
1,290.0-C,19.0,94
1,290.0-C,19.5,90
1,290.0-C,20.0,45
1,290.0-C,20.5,48
1,290.0-C,21.0,48
1,290.0-C,21.5,46
1,290.0-C,22.0,45
1,290.0-C,22.5,45
1,290.0-E,5.0,31
1,290.0-E,5.5,34
1,290.0-E,6.0,32
1,290.0-E,6.5,33
1,290.0-E,7.0,97
1,290.0-E,7.5,100
1,290.0-E,8.0,100
1,290.0-E,8.5,102
1,290.0-E,9.0,96
1,290.0-E,9.5,94
1,290.0-E,10.0,51
1,290.0-E,10.5,55
1,290.0-E,11.0,55
1,290.0-E,11.5,53
1,290.0-E,12.0,53
1,290.0-E,12.5,54
1,290.0-E,13.0,51
1,290.0-E,13.5,55
1,290.0-E,14.0,52
1,290.0-E,14.5,52
1,290.0-E,15.0,53
1,290.0-E,15.5,50
1,290.0-E,16.0,89
1,290.0-E,16.5,95
1,290.0-E,17.0,89
1,290.0-E,17.5,93
1,290.0-E,18.0,90
1,290.0-E,18.5,91
1,290.0-E,19.0,90
1,290.0-E,19.5,91
1,290.0-E,20.0,47
1,290.0-E,20.5,45
1,290.0-E,21.0,47
1,290.0-E,21.5,46
1,290.0-E,22.0,47
1,290.0-E,22.5,48
1,305.0-D,5.0,60
1,305.0-D,5.5,57
1,305.0-D,6.0,56
1,305.0-D,6.5,57
1,305.0-D,7.0,177
1,305.0-D,7.5,168
1,305.0-D,8.0,175
1,305.0-D,8.5,177
1,305.0-D,9.0,173
1,305.0-D,9.5,180
1,305.0-D,10.0,90
1,305.0-D,10.5,90
1,305.0-D,11.0,96
1,305.0-D,11.5,94
1,305.0-D,12.0,95
1,305.0-D,12.5,93
1,305.0-D,13.0,91
1,305.0-D,13.5,97
1,305.0-D,14.0,96
1,305.0-D,14.5,95
1,305.0-D,15.0,91
1,305.0-D,15.5,94
1,305.0-D,16.0,162
1,305.0-D,16.5,157
1,305.0-D,17.0,171
1,305.0-D,17.5,158
1,305.0-D,18.0,171
